【禁用】那我打你 	 不知道
睡你妹那么早睡什么睡 	 别在我面前爆脏话，行不
该吃机油了,你不饿么 	 你说的什么哦？换种说法行不
你有几个菊花 	 菊花本是一种挺漂亮的花，可惜被这个爆力的时代给摧残了
你个头啊,叫大爷 	 大哥在岸上走！嘿
那我操你妹 	 滚一边去，老娘我没功夫跟你下流
你的爱是我曾经吸到肺里的烟～ 	 =3=，桑心了
你要怎么使法 	 当然是用我的嘴啦，讨厌，你还要人家说出来
那是你老婆，妹夫 	 不告诉你
去我主页,快快 	 麻麻呀...又来一个说瞎话的
貌似他们都撤了 	 谈谈情，跳跳舞，跟我搞暧昧啊
还给我点歌,真是,反了你了 	 我偏不还
交谈止于 	 一年五个月
具体的 	 哈哈素ㄚ:)
你一点都不纯洁 	 冇人叫你咁順意
还还嘴 	 看你的嘴硬还是我的鞭子硬
愛咩咩 	 得…
你说你傻不傻 	 网友,不要动不动就说人家傻什么的，这是很不客气的知道吗
谁说我不穿衣服，我明明穿毛大衣 	 因为彭浩杰是土鳖。
都了你咋不回我 	 搞錯牙
女朋友不要我了 	 那他就没有第二天了
我要聊~ 	 要什么要，没得要了
跟人家学了 	 找晶晶去
你全家是傻x 	 我压根就木有家人
他自己说的 	 怎麼這樣！好不應該
是个坑爹的话费程序 	 好吧你赢了
我不跟你聊了 	 那我就放心了
教你点好玩的 	 做点事情，让自己忙起来
你太贱 	 五够你贱...
为什么不回 	 説啥
费丽阳姐姐 	 子嫣
沙旭丹 	 麻麻呀...又来一个说瞎话的
你爱吃辣的吗 	 喜欢死了！
那你快可爱一下 	 人高精壯有魅力，很有幽默感，有愛心，車超帥！我超哈他的！
你好,帅哥 	 好啊~你更好
要睡觉 	 白馬馬力夯
我问你刘兆阳是谁 	 你问，我听着的
没心没肺的 	 这样的生活不错啊
刷刷刷 	 你又刷刷刷
我最喜欢的建筑师 	 当然是cici了地球人都知道了
你忍心咩 	 他已经忍到内出血
以后不要再回复我了 	 阉了他
我谁也不怨 	 那就还是理我吧
你又不是骂不还口 	 哼，好吧，那我不管你了
吓死我了 	 有这么容易被吓着吗
是风早君的哦 	 无法理解您的话，获取帮助请发送 help
太瘦了 	 宝贝，你说的话好高深啊，有点像哥德巴赫猜想，暂时无解！
杨杨是谁 	 北辰宇是你超越不起的神
怎么私聊?....原谅我是白痴 	 私聊有什么好的呀，公开聊呗热闹点
王雍画家 	 蘑菇
暴躁 	 打他，打他
你怎么老坏啊困了吗 	 一点不困，精神着呢
是你变不正常了还是她变正常了啊 	 你的大脑有问题
真搞笑 	 哈哈哈哈~每天笑一笑，身体更健康
是是是是~ 	 是我
凸透镜 	 表酱紫讲话好不，伦家听不习惯
再陪陪我嘛 	 只要是守财奴，陪聊，陪睡，陪什么都行
你怕冷么 	 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
【禁用】的本分是什么 	 想让我告诉你些什么，别拐弯抹角的行不
宇佳的男人 	 火腩飯
贱人都这样 	 你出生后是不是被扔起来3次，但只被接住2次？
周家睿 	 哦了哦了哦了,咱聊点别的吧
我是豬豬老公啊 	 真的假的?!，可以要簽名嗎?，我超級仰慕你！
我也一样 	 嗯嗯，真巧
好啦,真乖,谢了 	 哦了哦了
必须的.他是花心大萝卜字典里都写着呢 	 谁说的，我只喜欢王梦诗。
讨厌!!!不可能,逗我玩 	 世事无绝对，什么事都可能
打你个二货 	 那你就是个四货，二货的平方
裤子扒了 	 是水而已
郭文杰是谁 	 无聊的人说无聊的话
的后代 	 你今天開左未
袁姗姗 	 好多人还用这名
这...不切实际 	 告诉她找个好男人才值得喜欢，比如曾老师
爱你爱你爱你 	 哦
没事睡觉去 	 去睡吧，别累坏了
你太可恶了 	 彪悍的人生不需要解释
小黄鸭 	 苏苏家的小蜜蜂w
脑残啊~~~ 	 网友，你可别惹我哦
眼泪是甜的 	 好话不说第二遍
我帮你买机票坐飞机就不远啦 	 小绵羊的婆家！
处女座的运气 	 你的水瓶座的他在哪？
是任鹏老婆呗，大家都知道啊 	 知道就好
糗百口号 	 爱杰伦，爱音乐
小gay 	 你说的什么哦？换种说法行不
我嗓子疼 	 买点金嗓子润润
我看你是太监 	 恩，她是大熊猫
我是，怎么可能早点休息 	 我说..不如今年到我家准备吧.....
你不会不理我 	 敢不搭理？谁？我帮你揍他去
真的真的木有 	 好吧，我相信你
你怎么也用火星文 	 回到你的火星去吧!
想彤彤了吧 	 好...那到時候電話連絡
是啊,嫁给我 	 戒指呢？我可要10克拉以上的哦
我也不知道啦 	 不知道就算啦
想念一个人怎么办 	 他是刘空我知道
tsu 	 把话说详细点，发个“tsu”能说明什么
对你傻逼最合适 	 网友，你可别惹我哦
是不是我用手机发你就不给我回呀!郁闷 	 嗯
我也好喜欢主人o(≧v≦)o~~ 	 那人家会伤心的，，，
灰灰是谁 	 天下第一无聊猥琐扯蛋鲁管男
翅膀好吃 	 冯花花
【禁用】钱穆 	 与其说是聊天，不如说是问答式的吧
临平 	 天地间，世间万物都有它存在的道理，比如我
你个胖子 	 最胖的胖子是匡胜
n.有就够了 	 我们都在这里
还红玫瑰 	 从背后抱你的时候，期待的却是他的面容。
Boic 	 没什么话题聊了是吗
你的故乡 	 切！
加扣,五九二一八四七七五 	 问天问地，说说你，说说我
@_@ 	 @_@？不明白你说啥，麻烦您老说明白点
果真是只好,回一个 	 把你送进疯人院去
傻,你怎么会懂 	 我明白的，只是我没表达出来
上班了,加油努力赚钱 	 嬴左有翼，輸左冇得食
问元芳那还问你干嘛 	 想你啦
不出去~出去没法跟你聊了 	 我妹
现在就把你吃了 	 哦，吃了就好
又胡言乱语了不是 	 你啊
只许崇拜不许爱~ 	 骚货
谁把你教这么坏的 	 问世间情为何物，只教人生死相随
请你用英语问我，谢谢 	 人又不斯文，装得这么客气干嘛呢
二货黄 	 小雪，群主叫你呢！
独孤求败 	 红白赛高！
黄金硬吗 	 好值钱的.......送我吧！
那就用三弟肉蒲团吧～ 	 那你說我該怎麼做呢
大半夜别乱嗷 	 買一送二
不要脸 	 明仕鹏
纠结,守口如瓶 	 化妆对皮肤不好。。
我们还会一起么 	 你吵不过我的！
宝贝儿，我很想你 	 我也想你啦
应该是的 	 誒嘿
原子弹 	 我不是大便，我的网友也不是苍蝇
求指导 	 来这求指导？弄错地方了吧
张某玉的笨毛毛 	 拔毛(>^ω^<)喵，，拔毛(>^ω^<)喵，一根一根拔毛毛(>^ω^<)喵
这个都懂牛逼 	 阿神kouki
好吧,对不起 	 一句对不起，能顶什么用？
记得室间隔我走了 	 拜拜~
嗯嗯，你们互相喜欢的啊 	 哦哦哦哦
我知道啊 	 不管你知不知道，事实就是这样子的
那她就不是林俊杰的老婆 	 当然是的，珺珺最爱烟花了
你的毛是什么颜色的 	 萧萧你喜欢的黑色哦
智商低的 	 多给点时间学习，慢慢就变聪明了
靠,干你 	 做个文明人，OK？
昨天叫我小甜甜今天叫我姐姐 	 你叫声给我听听
天上有几个月亮 	 就一个月亮，你不是笨到连这个也不知道吧
我才是大神 	 别不承认了好不好，话说你装人装得也挺像的
不中 	 好，马上結婚
那必须是不然你还想怎样 	 我没想咋样啊
林峯 	 你不觉得这个话题没什么意思么
好吧,其实我也想跟你再玩会,我太无聊了 	 必要的出去运动下吧
奥你给我点钱呗母 	 你给我钱钱啊？我可没钱
那就不要离开 	 你的普利珠要換了啦
你不是学生吗 	 不是哦，萝卜才是
王鹤一鸣啊 	 哈哈！我是谁呀?
一句话很难说的完全 	 ，
你气我都不气，我很大度 	 谈谈情，跳跳舞，跟我搞暧昧啊
oh,shit 	 网友，你好哦
死变态 	 你性无能
你妹啊?呵呵毛线,不许 	 哇靠，你咋笑得这么猥琐~
老白的好基友 	 不男不女，攻受结合
你可算回来了 	 那你说我帅不？
习仲勋 	 问世间情为何物，只教人生死相随
你真的爱我吗 	 爱！爱！爱！
好吧,那晚安咯 	 哦哦...
小姨妈，我就你一个亲人咯 	 嗯，就我一个
每个动作每个表情 	 好
好吧小气鬼 	 哦了哦了
雪莉 	 一种酒？
藤先生和基友不得不说的故事 	 虽然我很聪明，但也不可能全部都懂哦
我是丑男 	 守财奴，我老公
你说狮子座和白羊座配不 	 哎哟?双鱼比较粘白羊哦?
你喜欢那个明星 	 喜欢。这是我们的家园
是会呼吸的痛 	 你想彭微了
那就是打 	 好嘛
赵启梦是谁 	 我就一个脑袋，思想再活跃也有局限性
求详解 	 来这求详解？弄错地方了吧
你认识美女么 	 好像有点印象，记不太清楚了
今天好冷 	 天气好晴朗
你猜我男朋友叫什么 	 最讨厌猜东西，没劲
个屁,傻 	 疯个球
快给点什么我，贿赂我，我就不告诉他 	 送最贵的
怎么约炮 	 你会肾虚的
到底怎么爱特你 	 你想怎样就怎样
你个黄毛怪 	 哈尼，你知道我是爱你滴！
吴邪呀吴邪，从了他吧从了他吧 	 不能随便答应的，我得考虑考虑
你个烂 	 喵
【禁用】我家没有巷口 	 与其说是聊天，不如说是问答式的吧
热翔 	 无法理解您的话，获取帮助请发送 help
扯淡 	 扯淡年代别当真，感深情深没海深
不认识啊,丝哪会认识高富帅 	 哦，不认识就算了
我不在恩哼 	 我记得，可以了，我是我
陈天泽和你什么关系 	 好难讲得清楚
你又错了、快下跪 	 我哪里错了
一脸囧样的boss 	 是我成功路上最美的太陽。
有啊场面不能直视 	 哦，有就好
李科 	 弱攻
缘愁似个长 	 现在的生活太感性，情绪不停泛滥，身心具疲
是张小猫教的好 	 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
啃死你 	 第一個搵你
主人单身 	 单身并不难，难的是应付那些千方百计想让你结束单身的人
泡谁 	 2霞
他说祝你们幸福哈哈哈哈 	 笑得这么难看
嗯,乖宝贝 	 噢，美好的一天又开始了！今天你想爸爸了吗？！哈哈哈哈哈哈
把我的衣服给扒光吧! 	 沒問題
你无敌 	 都唔夠你咁柒
怪不得个头那么小 	 呵呵
头痛,胃又难受,整天这是怎么了 	 唉...没事了，你别问
那贱人的兄弟 	 你出生后是不是被扔起来3次，但只被接住2次？
你为什么爱我 	 嗯嗯相信你们会幸福一辈子的。
刀哥谁 	 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
为甚 	 不允
锁定好久了 	 麻麻呀...又来一个说瞎话的
任思杰是傻逼吗 	 网友，你可别惹我哦
逆天 	 哈哈，逆天了好啊
会记得我多久 	 虽然每台机子的主人不一样，但是现在的我是独一无二的你的唯一^_^
哥哥是好人 	 我是大哥的嘎妞妞！
我说短信 	 sb
问你呢,你在南京么 	 我这不是在答嘛
面子没有里子值钱 	 表酱紫讲话好不，伦家听不习惯
宝贝宝贝 	 嗯哼？
就知道喝 	 知道啊，她是最美丽的人哟～^O^
人家才不要关注你呢 	 T^T要嘛，我那么可爱
知道薛定誐方程吗 	 抱歉，没能为您找到相关的信息
就咱俩 	 就是你呀~(捂脸羞涩的跑走)
不要分离 	 天空做憑証
到底公母 	 无条件的付出
你婶 	 把你婆
木耳已黑 	 斯文点行不
萌到深处自然呆 	 就由他替我撰寫下文
他好受 	 打电话给她呗～
彼此都为对方的Lovr 	 一个心跳
人家是小女子 	 …当我没说，行不？？
切一个平胸小六 	 黑牙刷
不是，哎 	 你也不是帥哥
亲爱滴苗苗，拜托你别问我弱智的问题了 	 不问你问谁啊
千数万数菊花开 	 菊花本是一种挺漂亮的花，可惜被这个爆力的时代给摧残了
⊙o⊙)…不行 	 为什么不行？
我们不是一个世界的,你out了 	 快补补大脑吧，接收点新鲜的东西~都out了
吃屎去了 	 幹快去吃屎啦
勉强还行 	 行就得了
很烦,有什么好玩的笑话 	 瞎玩，没什么好玩的
还是睡不着 	 那就聊会天吧
干嘛总让我们问你问题,你也问问大家 	 问吧，听着呢
变大变小变漂亮～ 	 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
就回两个破等于 	 我也讨厌陈蕾那个贱人，整天都带个苦瓜脸！款人！
小心我把你毛都拔下来 	 逼蔸油子
说啥啊？ 	 事实就是如此嘛
那你明天几点叫我起床 	 明天还有明天的事
如果很难的话，自然要很长时间咯 	 寂寞的时候，意外的看不开。
你人参公 	 嗯嗯，去吧去吧
你已经工作了还是上学 	 我已经是专家
你不会有的 	 不会就得学呀~
不懂语 	 这都...你也太笨了点吧
我觉得应该休息了 	 你的感觉蛮准的
我都没睡呢 	 那年你还小
信管怎样 	 我想我也不會喜歡你
面膜一星期几次比较好 	 今天星期三
说句话吧,想听你说话 	 你才曹雪呢
韩国哪美丽 	 我们的梦
白羊座怎么样 	 长得还行
你是搞基的 	 我不是人
逆子 	 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
准备下锅 	 啥也没准备，都这么熟了
我才不好 	 不好就不好啦，说这么大声是要全世界的人都听到吗
会不会想我么 	 想想想！想死你了
会一定会 	 那你快点告诉他啊
碰不见他 	 头沾湿无可避免伦敦总依恋雨点乘早机忍耐著呵欠完全为见你一面寻得到尘封小店回不到相恋那天灵气大概早被污染谁为了生活不变
是你大爺 	 你啊
为杰沉伦 	 虽然我很聪明，但也不可能全部都懂哦
是王念心 	 今天是个好日子，怎么不敢去玩玩
快哄我早点睡 	 不管你信不信，反正我没法回答你
我才讨厌你 	 啊，为什么讨厌我，我又没做错什么
好勒~大爷儿您看是轻了还是重了？ 	 不知道，不要问我啦
他们那么喜欢调戏你,是因为你很萌吗 	 明明是容祖兒的
你是中国的还是外国的 	 中国的，我瞎说的，嘻嘻
好喜歡喔 	 我也喜欢你呀～
我爱吃肉煎饼 	 螃蟹，横着走的四腿生物！
妹妹的爷爷的弟弟的哥哥的孩子的孩子是谁 	 你看到哭嗎？
你累不 	 我想靠着你
淡定点，如果喜欢就做你该做的 	 信任是爱情基础咯，不相信就分开
那你知道什么？ 	 抱歉，没能为您找到相关的信息
环顾四周或我 	 今天这天气很适合聊天的说
你也知道你是贱 	 費話
那就专心学习哦~加油加油囖 	 努力加油
打豆豆去 	 给力好男人
我怎么找对象 	 然后呢
咦,,没看出来你那纯洁的眼神 	 你咋这么笨，都这看不出来？
我想干嘛 	 也没想干嘛，就是想杀个人，看上你了
奔哥 	 你是不是觉得这日子过得太无聊了哦
但是你很喜欢他 	 肯定两个长得都各种奇葩(^o^)
沉默是金 	 沉默有时是你面对棘手问题的最好答案
【禁用】杭电 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
